Week,Date,Activity,Topic,Work Due
,,,WHY ARE WE FASCINATED BY TROPICAL ,
1,24-Aug,Topic,Introduction to each other and the course. What is a ‘tropical rain forest’?,
,,Summary,"Goal: To quantify and discuss preconceived notions about tropical rain forests, then learn the different ways biologists define the “tropics” and how the structure and dynamics of tropical rain forests differ from those of other forest types.",
,,Readings/Works,none,
,,Assignment,Submit paragraph of expectations/concerns and “free list” generated during class,
,26-Aug,Topic,Where do stereotypes about rain forests come from?,
,,Summary,Goal: To introduce and discuss how historical narratives have shaped contemporary perceptions of tropical rain forests and the colonial roots of tropical biology,
,,Readings/Works,Juniper Ch. 12-13 (pp 220-253); Raby 2017 (pp 216-223),
,,Assignment,1.  Sign up to watch & review one movie from each of the three categories on the Rain Forest Movie List. (All movies are feature films; most have run times of 90-120 minutes; some of the options are longer). 2.  Download Movie Review Forms,
2,31-Aug,Topic,"Rain forests in High & Popular Culture: Joseph Conrad, Guns ‘n’ Roses, Avatar, & more.",
,,Summary,"Goal: To compare the presentations of rain forests in literature, art, film, and music and evaluate how these depictions have influenced popular perception of rain forests.",
,,Readings/Works,Earnhart 2007 (pp 341-352),
,,Assignment,Continue watching and Reviewing Movies,
,2-Sep,Topic,At the movies: Rainforest Tropes and Stereotypes,
,,Summary,Compare Movie Reviews and Present to the Class,
,,Readings/Works,none ,
,,Assignment,Movie Reviews Due,
,,,THE ORIGINS AND MAINTENANCE OF TROPICAL BIODIVERSITY,
3,7-Sep,Topic,Why are there so many species in tropical rain forests? ,
,,Summary,"Goal: An overview of rain forest biodiversity, diversity gradients, and  local patterns of species richness and abundance in tropical forests; hypothesized mechanisms for the origins of tropical diversity. ",
,,Readings/Works,Juniper Ch. 1-3 (pp 15-75),
,,Assignment,"In-class project: plotting biodiversity data to infer gradient and local diversity patterns, Comparing with Raven et al. 2020)",
,9-Sep,Topic,Goal: To observe and catalog the diversity of plant and animal life forms that can be found in rain forests,
,,Summary,Juniper Ch. 4 (pp 76-102),
,,Readings/Works,--,
,,Assignment,"Visit to FLMNH, questionnaire on plant form and function; (This can be completed independently if you cannot make it due to other time commitments).",
4,14-Sep,Topic,How did rain forests become rain forests? ,
,,Summary,"Goal: to understand the geological history of tropical rain forests, how climate, fire, and geological history drive the tipping point between forests and savannas, and how this biogeographic, geological, and climatic history shaped the evolution of tropical plants and animals",
,,Readings/Works,None,
,,Assignment,In class Biogeography Exercise ,
,16-Sep,Topic,Savanna-Forest Boundaries and Fluctuations,
,,Summary,Discussion of article by Staver et al. ,
,,Readings/Works,Staver et al. 2011 (pp 230-232),
,,Assignment,Article Summary ,
5,21-Sep,Topic,Interspecific Interactions and the Evolution of Tropical Biodiversity,
,,Summary,Goal: to understand how interspecific interactions led to the (co)evolution and diversification of tropical biodiversity [today: plant-herbivore interactions],
,,Readings/Works,none,
,,Assignment,none,
,23-Sep,Topic,Interspecific Interactions and the Evolution of Tropical Biodiversity,
,,Summary,Discussion of article by Salazar et al.,
